95,125,35
583,181,1387
575,283,1159
292,139,598
481,507,429
86,117,24
254,136,490
550,103,1444
476,137,1154
576,262,1204
394,187,808
22,555,-1044
510,259,1012
561,111,1461
408,543,138
455,588,189
446,264,810
236,67,574
394,155,872
103,246,-183
424,357,558
20,158,-256
167,362,-223
28,427,-770
59,134,-91
495,71,1343
417,179,893
191,192,189
571,255,1203
21,305,-547
264,52,688
229,158,371
460,481,418
478,18,1398
113,558,-777
294,439,4
268,294,216
388,348,468
426,143,992
453,276,807
166,578,-658
408,329,566
394,313,556
98,139,16
72,294,-372
300,375,150
576,408,912
205,238,139
352,221,614
135,593,-781
451,23,1307
154,532,-602
304,548,-184
420,478,304
535,60,1485
576,158,1412
329,202,583
84,408,-564
90,82,106
155,433,-401
505,65,1385
153,393,-327
489,297,873
147,468,-495
558,430,814
210,543,-456
118,535,-716
151,201,51
370,420,270
284,119,614
211,19,595
499,447,603
352,301,454
330,288,414
551,543,567
172,366,-216
455,371,623
453,516,327
229,484,-281
341,347,329
46,110,-82
33,144,-189
319,532,-107
468,18,1368
561,294,1095
78,101,32
342,588,-150
282,428,-10
8,301,-578
203,283,43
98,36,222
477,410,611
187,26,509
318,43,868
100,313,-326
362,59,968
158,491,-508
393,491,197
414,434,374
449,90,1167
271,396,21
51,312,-471
138,584,-754
549,390,867
92,481,-686
496,273,942
324,260,452
598,496,802
47,51,39
266,80,638
64,105,-18
578,235,1264
3,499,-989
465,483,429
491,37,1399
522,240,1086
51,317,-481
240,251,218
156,395,-322
481,377,689
259,176,425
547,259,1123
110,10,310
159,591,-705
88,101,62
82,64,118
522,224,1118
348,119,806
330,294,402
87,204,-147
512,571,394
374,553,16
211,32,569
308,443,38
242,162,402
46,254,-370
144,329,-226
74,566,-910
111,251,-169
144,590,-748
251,181,391
30,421,-752
542,400,826
567,324,1053
295,419,47
294,400,82
203,107,395
541,77,1469
222,600,-534
67,103,-5
469,20,1367
234,337,28
146,530,-622
243,402,-75
58,115,-56
80,222,-204
566,277,1144
574,589,544
346,94,850
36,514,-920
141,387,-351
212,226,184
493,115,1249
10,257,-484
26,290,-502
102,73,160
390,354,462
440,136,1048
389,231,705
271,350,113
329,152,683
178,175,184
447,371,599
114,160,22
413,495,249
111,590,-847
222,439,-212
376,207,714
469,351,705
49,65,17
558,544,586
466,528,342
293,491,-103
262,157,472
269,357,93
184,14,524
306,256,406
307,188,545
491,97,1279
477,108,1215
387,254,653
228,57,570
487,360,741
320,283,394
211,418,-203
564,420,852
526,384,810
331,21,951
374,42,1038
353,192,675
