47836,20431,74759,10681,58511,44219,38087,14319,26694,36772,34224,59305,65279,32786,45273,52176,34394,76203,20676,23842,61919,59526,72141,65918,22922,5328,24362,43623,29935,47657,52877,10699,23289,62582,53209,44951,61526,25471,54471,44761,52084,77585,69033,66459,35329,18250,52887,10644,77242,50331,2469,9574,75917,2566,71010,29384,40250,13666,59349,77729,48108,28122,55183,15030,60757,59722,5112,3932,30196,27481,74519,52782,2795,22222,3037,10292,27818,12290,11364,26132,60557,64234,19315,28552,67790,72165,12460,70573,20788,1117,54725,74550,58733,76139,24518,56332,54986,27752,9064,24459,63809,47735,30089,31973,51985,61139,67943,45098,25744,2122,10632,76966,70094,46184,49320,5203,63880,60542,32484,64547,67805,7442,26394,70178,304,5101,42876,74076,74129,23420,78860,11686,35842,39380,66724,19628,23547,55582,20996,38541,46120,64541,79375,49258,19045,35897,57151,71598,6363,71730,74596,42792,12323,66976,71853,62080,53018,28347,61999,58068,39692,26083,62014,78010,53505,68524,57395,52047,13163,73137,49900,53527,40648,67228,66492,25592,30684,25687,25951,23527,1940,60625,32330,68562,42385,13005,78295,58839,34793,31275,23748,31070,42,22402,68958,63416,33276,54156,47900,75036,-1.185e+05
63150,1643,8632,1725,28803,21985,72649,50667,18369,76683,21376,5636,7867,9871,74530,66160,16573,23857,15833,55337,52314,35433,63464,68176,6192,32883,66050,40729,15189,5483,31573,10265,77906,21166,43304,19325,51116,40835,62541,3448,40313,30021,62829,9815,56135,14486,35167,19022,60776,1190,14927,47036,8516,13454,13029,75316,30614,59649,75508,75213,16394,58140,19438,751,11684,16914,64235,70935,38544,39883,41122,36513,61707,7769,73793,17664,53338,24678,17400,29597,26600,58417,55679,9001,20559,53545,32732,67962,55005,30536,38994,6461,39374,9092,66248,33793,48904,74742,36906,61236,29444,1483,16264,35210,63207,30372,4799,25175,43447,56837,27137,60591,16436,32243,66604,34586,8039,38390,79600,22118,57215,16183,9167,19230,52822,13476,76023,70812,32979,57320,68581,62600,75222,37660,4629,74995,42633,54406,50111,7220,55305,2559,23650,26595,46112,71534,44578,23006,54563,23961,4297,27398,70436,60237,11494,71402,26356,12069,56924,31767,39341,22254,51836,9184,2935,14326,55833,7779,40597,2865,44170,17963,78669,30163,4461,62722,67449,60081,64033,65023,73169,69437,66455,46378,29654,10502,33536,69090,51399,49863,79141,23519,54290,72179,23853,30416,74502,68129,45171,2777,-7.8023e+05
29413,73895,14579,44788,36337,19321,44175,49921,74890,63204,60299,67787,68768,35442,62649,24647,25873,12673,48456,70437,52619,4241,29842,37381,72046,77528,70696,19743,51721,17444,20720,74821,61172,25176,69518,73018,71452,61846,64590,60611,42475,78790,34680,20095,20804,53762,45024,10218,19735,3464,21673,49777,4639,41934,16100,21456,78176,7839,63947,74650,49503,70907,27418,67065,26105,19879,28086,68664,63650,9442,70024,33477,43243,62626,29852,36285,36357,10474,62197,39424,70445,63578,1221,20407,30177,13711,55493,45500,34600,72570,28543,5592,32148,9382,64632,76629,6588,29909,57491,20231,1212,74656,14334,24771,5785,36326,61339,11654,76537,67491,58321,35048,23356,43636,846,55179,41814,66921,67032,24900,76791,59487,43961,41274,50590,53191,39844,56557,32308,45936,35329,51716,78288,11620,25637,54969,13084,2479,22901,39310,48608,70346,19208,6811,29471,72896,30486,24008,42023,70403,73165,13260,9517,29163,19659,4246,22436,35720,1677,31108,79377,21231,78779,11392,30847,40363,63597,30621,65826,13104,18915,12091,57531,42627,11383,455,34690,16432,65276,45400,67699,6138,22868,76261,67124,22115,14778,75952,41434,11691,36017,71859,61987,35199,24264,6344,11770,61554,9932,30253,-9.0336e+05
16483,52296,7928,24066,30912,19452,2636,26236,54656,36150,71871,54391,2211,71916,54855,32190,8870,28904,65897,73964,12882,7026,66565,77656,67729,62458,75630,3632,289,69553,67833,21859,19495,14656,44564,66059,4856,45826,21205,52772,30330,9767,27826,75009,2283,26063,79225,42730,54102,14421,5300,59762,13098,67310,70557,59632,74887,71222,35019,78701,55933,4155,43636,38508,2303,7828,67942,6805,55312,46042,30248,2744,26524,53402,79133,37221,35751,27482,28609,16050,42049,45886,61484,12455,58682,25583,62462,36847,25899,24288,17067,78185,69009,56,72741,60448,30161,38603,76849,53682,57199,784,24504,35757,19562,51505,57993,10418,29402,3992,33252,36440,23268,62195,41761,40525,4696,66967,19680,30449,15490,54536,52060,6302,16839,56487,65401,51473,12254,56883,66530,79319,39375,8024,30866,74443,1534,51737,10466,50179,75715,79084,30870,60093,21730,76914,27789,45185,41270,20418,40301,48947,68796,47972,10518,44531,32921,67911,16780,48475,31590,40198,76403,57531,62645,56922,46796,25947,34306,12469,18979,57396,57053,59754,40344,58786,79302,24293,25364,74644,69662,45329,1200,27053,46240,27708,70985,30659,10530,29775,28111,30880,72951,19416,17689,34736,1588,46116,45362,14261,-4.4908e+05
6934,74610,39182,75153,62045,12333,4310,64238,76970,26675,58276,10933,71933,28292,37298,70739,30017,59331,64850,6501,34591,63839,60307,67300,31656,58322,31264,67339,22632,33138,75605,75415,54570,35798,1712,35564,14062,76309,71672,47957,61513,60877,4432,52417,75838,63248,76586,4536,60745,16038,26680,24795,42198,24513,36957,72726,71419,6568,7226,55443,25187,6285,5406,37483,55565,56694,79345,14194,67984,41238,70761,74148,46258,49014,43477,7183,1363,53045,2026,23006,21388,28936,26552,65049,62578,21697,50910,5409,3686,69387,18308,41737,14467,24253,51426,29281,32398,19058,42313,10554,17487,51277,68025,77152,857,58813,60375,67414,2117,19651,73978,40927,70036,37633,30709,57354,65092,45627,33319,33479,6012,42355,49050,50849,34796,68646,58859,20524,70006,8065,23412,62003,35336,24237,58143,33435,101,4502,60787,48416,60592,51944,20890,59739,78841,62245,6831,61400,75232,15372,15324,22790,69240,27419,56247,12108,68285,72172,54191,1488,75782,45433,60060,26233,27479,18466,36404,7167,12615,39073,24463,7866,23514,31974,53944,48479,29071,21493,16263,63881,60188,27676,46085,25334,9526,7075,77890,7478,34344,11809,46797,967,28340,3480,11187,62838,33922,21504,37827,2788,-3.9817e+05
61755,13081,15460,78473,58742,76514,64406,79959,35038,4728,32547,68673,71995,9615,20826,56047,26393,56473,64179,38614,40407,52447,49750,6284,13538,61253,64106,3860,51089,52897,30160,51053,11029,26135,38615,78566,33307,13726,48639,18160,22601,46349,65556,60233,79694,43682,26946,37486,46896,57549,3993,73321,5580,15293,14964,46765,35483,62522,74686,56199,64384,1159,32836,72684,76701,68460,38746,1072,40983,28423,42782,3471,68361,27504,45066,40539,68914,41297,66703,23408,13458,12907,25787,50372,931,18464,46545,30658,24829,11774,61183,63016,74046,29535,50295,44050,54991,42500,74834,75396,55098,63095,42049,36988,18604,50706,16115,37969,59161,76013,5624,18689,12879,7071,4701,24098,27655,62647,29599,5275,6731,66996,60151,49297,74649,21587,12656,56284,70187,25111,40875,77636,63813,78677,77381,65115,40043,59033,51294,46356,16663,30294,17976,18516,51834,75849,16974,72515,10539,14930,49507,24186,71637,34919,26404,79147,24363,33898,36251,55266,7313,10089,7744,54234,45282,64631,15111,21657,53992,30482,17892,44840,75605,61259,14068,53272,61683,55452,12919,22134,48967,13721,4606,59083,57440,15364,68313,15918,79476,28475,70688,10691,43507,9753,76721,24391,75745,73290,21577,70050,-5.1748e+05
16454,73688,71672,22930,34423,74853,36110,78479,75227,59273,75066,15987,41929,45529,45542,19350,27369,56072,56650,10262,30027,2587,31528,19008,34437,60527,12570,25306,47366,62679,5383,69803,50385,22386,64639,46262,59184,72579,1153,57098,51942,49693,8484,64869,62359,18445,12437,78616,65796,35430,8105,62582,812,5210,57991,72521,60123,67895,30271,29705,14242,15468,19001,33372,58324,63123,28510,47199,68403,69068,71409,38085,51391,55228,15032,6121,75026,63734,29056,34388,3601,70910,61235,52750,17737,56200,77979,59233,34130,24794,31692,24781,65763,9628,9478,17715,32402,16810,79167,35567,19681,42121,66276,39680,20389,62636,25908,18536,25991,8807,30352,35175,57825,74713,57145,56481,66314,38060,63345,75772,76885,37304,13010,54357,36583,1798,63330,58850,7428,74263,60099,11669,9640,6216,77619,35205,73402,78761,41289,53811,49040,58502,29452,25169,31283,54327,7086,29286,52063,68889,70026,40058,936,20658,8279,42097,60775,21747,39458,37120,30620,3910,37526,8139,25461,46312,13251,71827,22131,61681,12875,42097,32460,37383,31213,66916,53497,13349,72909,79876,16082,66222,48359,11907,7001,26095,3851,28871,30453,38567,64989,50597,52254,39791,54455,58723,58462,66932,78716,77682,-3.1505e+05
31062,63573,7928,64066,55501,65498,30612,10163,467,40544,20435,48588,9616,70003,19902,60787,65370,499,68751,20233,38430,44566,28743,65406,33298,67462,50014,62674,26024,19831,14527,29366,68562,74542,58881,18754,71437,60178,27523,57961,73775,39193,486,3875,79153,54941,33367,54578,74147,67640,5750,8084,7335,75681,70685,4535,72753,36071,60714,5129,19305,2104,39118,43532,58941,59428,4350,56629,37236,27522,8222,30860,33609,18685,17240,13322,38302,46128,63085,38250,13662,72160,30734,53130,5366,24758,42372,41787,49246,33460,65813,9482,54927,56953,73518,20476,44358,23617,37258,28640,21287,23300,8551,1724,72976,2759,47767,62484,53223,76638,45213,11538,64446,3488,62250,73217,57998,62214,2569,63221,77220,25790,61841,67169,8803,44651,1095,61104,26608,71435,30427,57445,66189,21002,50120,60999,75670,56211,55758,31263,56388,73598,13945,12948,9270,57133,60763,24474,67775,35568,33591,42296,63688,34566,17706,42921,43776,56406,28215,61528,58442,65054,8332,44790,79447,78277,70195,54163,29983,11275,71237,17530,7957,70577,73478,6749,11220,42525,56583,58142,20568,47392,49375,79664,21430,61713,16196,73932,67116,45309,54622,44128,14203,56073,64384,8016,24953,74426,17040,46466,-8.39e+05
44143,46192,3534,71689,75618,58261,63172,18580,48825,15995,42654,43444,14224,27886,25545,23275,42535,29948,62487,70717,27394,57585,7109,32467,58302,61613,55919,77793,79117,44355,46060,18897,71984,31976,45785,64848,2069,22895,42694,27538,26454,17637,22004,33177,39005,3927,44359,69673,51006,31184,72362,22489,48595,19582,63841,44539,29866,48427,64304,35477,47579,37502,64486,55921,13969,8362,73127,60714,21188,36551,16964,42725,43674,24643,38825,59817,45587,5350,70373,74554,74063,60687,17491,43783,56453,77910,23070,39741,19442,16815,42003,38835,37533,76602,49919,58821,49462,42559,29104,13585,10566,50267,49372,15383,29404,8069,78170,54594,39828,27631,60528,41872,59347,51896,57332,56464,26984,71680,63719,52172,74583,46981,61717,61495,54392,15919,57880,31581,55480,47897,21302,22999,59703,29027,68128,702,27468,59596,35405,3197,68306,39630,61450,3385,24670,11008,5570,48307,27673,30929,74435,1133,14572,2847,68014,56999,62226,54291,48952,26796,59696,16116,29773,9822,2186,71067,34237,39856,31744,53627,62093,53359,3219,22006,76986,55604,7731,16105,9655,22929,768,65208,62619,21772,7986,72594,66442,35126,3896,45588,79533,20223,78783,25847,42897,13822,12407,70912,19997,29551,-8.4942e+05
18317,35203,44584,47803,62739,14065,29143,1891,64087,34176,76381,12986,56489,3354,72865,22196,41690,72120,16304,15703,62172,8833,27335,37305,32518,78293,6870,46918,9859,18367,14871,14986,27870,30354,719,36102,11006,50193,50222,2621,65076,11531,75422,58040,10239,45808,2381,39697,1516,67005,24944,72601,4487,50033,67438,237,9304,28358,64339,43439,69459,19471,30228,6325,28433,41670,56398,17118,50359,19048,56129,79854,14584,28585,17561,26766,79424,19879,54121,66899,8690,28944,45066,22876,70075,68995,15697,66416,67578,61397,8220,33223,71036,25784,20607,25244,33397,40607,7227,39926,27537,34038,45347,71851,3043,3340,36115,12898,68615,70436,58694,32304,63367,58642,9589,10650,16918,76514,2725,78023,54953,51164,68372,4372,77739,73620,39396,4983,13672,39732,21009,48246,46946,51468,23103,79603,43387,46355,14083,7079,39318,14464,46696,44304,3313,6623,46863,39138,5452,66561,42429,9448,2585,6299,63050,65499,62965,62214,36550,12967,13873,57513,5583,20073,21804,61108,32966,36861,10570,46009,70356,36172,31609,57086,60806,27440,77926,12574,51231,47325,27144,27318,43602,12051,31787,28132,25870,30170,14385,64104,17644,31754,219,1030,65717,74010,79130,61165,76090,73063,-7.1947e+05
